# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  1 05:52:15 2023
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN imdist:         Distance [pc]
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN image:          Stellar Age [My]
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
rowid,plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag,imstype,immass,image,imlum,implmass,implstype,impltemp,implradius,immodel,immodeldef,imnotes
1,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,1.435000000000e+01,,1.162000000000e+01,0.449,13.2,,170.4,29.4,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.909000000000e+01,19.20,,1.616000000000e+01,F0 IV,1.75,20,7.1,7,T4.5-T6,,,"Cold-start, Macintosh et al. (2015)",0,"Here, stellar luminosity is in L/L?? not L??."
2,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,1.435000000000e+01,,1.162000000000e+01,0.449,13.2,,,29.4,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.909000000000e+01,19.20,,1.616000000000e+01,F0 IV,1.75,20,7.1,2,T4.5-T6,675,1.000000000000e+00,"Hot-start, Macintosh et al. (2015)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
3,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,,,,0.449,13.2,,171.1,29.4,Gemini:South,GPI,2014-12-18,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,19.20,,,F0 IV,1.75,20,7.1,2,T4.5-T6,675,,,0,"Here, stellar luminosity is in L/L?? not L??. Here, planet K mag. is in Ks."
4,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,1.434000000000e+01,,,0.453,13.2,,170.7,29.4,Gemini:South,GPI,2015-01-30,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.908000000000e+01,,,,F0 IV,1.75,20,7.1,2,T4.5-T6,675,,,0,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
5,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.50,,,,0.461,13.2,,170.6,29.4,Gemini:South,GPI,2015-01-31,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,19.27,,,F0 IV,1.75,20,7.1,2,T4.5-T6,675,,,0,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
6,51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,1.162000000000e+01,0.461,13.2,,170.4,29.4,Keck:II,NIRC2,2015-02-01,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,,,1.616000000000e+01,F0 IV,1.75,20,7.1,2,T4.5-T6,675,,,0,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
7,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.266000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,14,17.3,12,L6&plusmn;1,1260,1.300000000000e+00,Mordasini (2013),0,
8,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.267000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,14,17.3,,L6&plusmn;1,1200,1.800000000000e+00,"Thick AE cloud parametric, Madhusudhan et al. (2011)",0,
9,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.266000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,14,17.3,,L6&plusmn;1,1600,1.150000000000e+00,"Exo-REM, Baudino et al. (2015), PHOENIX BT-Settl, Allard (2014), Baraffe et al. (2015)",0,
10,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.267000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,14,17.3,10,L6&plusmn;1,1500,1.500000000000e+00,"DUSTY, Chabrier et al. (2000)",0,
